portfolioId,Ticker,Name,NAV,ChangePercent,ChangePercentYTD,Ccy,1Y,Incept,,,
255071,-,BlackRock Australian Equity Absolute Return Fund,0.77,0.00,1.88,Australian Dollar,2.36,8.37,,,
254845,-,BlackRock Australian Equity Opportunities Fund,1.05,0.60,5.87,Australian Dollar,20.63,80.75,,,
254695,-,BlackRock Australian Share Fund,1.79,0.42,5.03,Australian Dollar,14.16,260.33,,,
254840,-,BlackRock Australian Share Fund Plus,2.02,0.43,5.14,Australian Dollar,14.76,"2,694.80",,,
254847,-,BlackRock Balanced Fund,1.43,0.07,2.27,Australian Dollar,11.24,390.75,,,
280914,-,BlackRock Concentrated Industrial Share Fund,1.12,0.43,5.32,Australian Dollar,14.63,16.34,,,
254709,-,BlackRock Equity Fund,1.91,0.43,5.17,Australian Dollar,14.90,"3,145.27",,,
269767,-,BlackRock Fixed Income Global Opportunities Fund (Aust),1.09,-0.09,1.57,Australian Dollar,6.18,8.72,,,
254710,-,BlackRock Global Allocation Fund (Aust),1.35,0.24,3.31,Australian Dollar,12.27,140.76,,,
254711,-,BlackRock Global Allocation Fund (Aust),1.36,0.09,3.40,Australian Dollar,12.60,150.24,,,
254855,-,BlackRock Global Allocation Fund (Aust),1.14,0.09,3.35,Australian Dollar,12.42,109.45,,,
254679,-,BlackRock Global Bond Index Fund,0.97,0.01,0.61,Australian Dollar,1.89,-,,,
276489,-,BlackRock Global Multi-Asset Income Fund (Aust),1.00,0.10,3.17,Australian Dollar,10.41,9.49,,,
254881,-,BlackRock Global Small Cap Fund,0.86,0.09,-1.33,Australian Dollar,16.46,101.65,,,
254880,-,BlackRock Global Small Cap Fund,0.97,0.09,-1.24,Australian Dollar,16.91,130.76,,,
254731,-,BlackRock Global Small Cap Fund,0.97,0.09,-1.15,Australian Dollar,17.31,136.70,,,
254712,-,BlackRock Hedged Global Small Cap Fund,0.99,0.09,3.51,Australian Dollar,19.36,271.82,,,
254867,-,BlackRock Hedged Global Small Cap Fund,1.07,0.09,3.62,Australian Dollar,19.87,317.38,,,
254713,-,BlackRock Hedged Global Small Cap Fund,1.04,0.09,3.70,Australian Dollar,20.28,319.51,,,
281427,-,BlackRock Impact World Equity Fund (Aust),1.09,0.07,0.68,Australian Dollar,-,9.26,,,
254808,-,BlackRock Indexed All-Country Equity Fund,1.39,0.01,1.33,Australian Dollar,16.26,111.45,,,
254816,-,BlackRock Indexed Australian Bond Fund,1.04,-0.12,1.19,Australian Dollar,1.95,132.09,,,
254682,-,BlackRock Indexed Australian Equity Fund,1.28,0.55,4.67,Australian Dollar,20.07,357.27,,,
254818,-,BlackRock Indexed Australian Listed Property Fund,0.81,-0.03,-0.11,Australian Dollar,6.25,192.58,,,
254683,-,BlackRock Indexed Emerging Markets IMI Equity Fund,1.12,0.53,-,Australian Dollar,-,-,,,
254823,-,BlackRock Indexed Hedged International Equity Fund,0.47,-0.11,5.74,Australian Dollar,18.85,183.87,,,
254684,-,BlackRock Indexed International Equity Fund,0.81,-0.08,0.91,Australian Dollar,15.73,68.88,,,
254732,-,BlackRock International Gold Fund,0.72,-0.86,5.75,Australian Dollar,18.38,-9.48,,,
254882,-,BlackRock International Gold Fund,0.93,-0.14,6.01,Australian Dollar,19.54,23.69,,,
254869,-,BlackRock Monthly Income Fund,0.83,-0.06,1.88,Australian Dollar,8.06,61.70,,,
254718,-,BlackRock Monthly Income Fund,0.83,0.04,1.93,Australian Dollar,8.27,70.46,,,
254871,-,BlackRock Monthly Income Fund,0.81,0.04,1.93,Australian Dollar,8.27,66.12,,,
257188,-,BlackRock Multi Opportunity Absolute Return Fund,1.08,-,1.81,Australian Dollar,1.47,9.90,,,
254720,-,BlackRock Professional Investor Australian Share Fund (PIF),0.74,0.57,4.90,Australian Dollar,18.86,64.33,,,
254830,-,BlackRock Scientific Australian Equity Fund,1.06,0.57,5.02,Australian Dollar,18.84,530.13,,,
254831,-,BlackRock Scientific Diversified Growth Fund,1.07,0.11,3.29,Australian Dollar,12.90,340.10,,,
254690,-,BlackRock Scientific Diversified Stable Fund,1.00,0.07,1.87,Australian Dollar,6.49,242.77,,,
254833,-,BlackRock Scientific Hedged International Equity Fund,2.01,-0.15,6.51,Australian Dollar,17.78,273.09,,,
254692,-,BlackRock Scientific International Equity Fund,1.07,-0.11,1.66,Australian Dollar,14.73,137.90,,,
