portfolioId,Ticker,Name,NAV,ChangePercent,ChangePercentYTD,Ccy,1Y,Incept
237595,-,BlackRock ASEAN Leaders Fund,10.7,-0.47,6.52,USD,14.56,7.8
244083,-,BlackRock Asia Pacific Equity Income Fund,16.51,-0.9,8.16,GBP,46.28,63.1
229019,-,BlackRock Asia Pacific Equity Income Fund,16.55,-0.84,8.72,USD,30.88,67
260981,-,BlackRock Asia Pacific Equity Income Fund,10.18,-0.97,8.54,EUR,29.45,11.63
229020,-,BlackRock Asia Pacific Equity Income Fund,102.4,-0.87,8.82,HKD,30.69,69.23
229021,-,BlackRock Asia Pacific Equity Income Fund,13.19,-0.83,8.74,USD,30.9,67.19
228311, ,BlackRock Asia Pacific Equity Income Fund,12.53,-0.87,8.68,SGD,30.52,60.18
229022,-,BlackRock Asia Pacific Equity Income Fund,13.8,-0.86,8.67,USD,30.94,34.65
230090,-,BlackRock Asia Pacific Equity Income Fund,107.66,-0.87,8.63,HKD,30.28,33.32
251626,-,BlackRock Asia Pacific Equity Income Fund,13.46,-0.88,8.78,AUD,31.66,15.93
270026,-,BlackRock Asia Pacific Equity Income Fund,96.61,-0.8,9.7,ZAR,37.98,18.51
229023,-,BlackRock Asia Pacific Equity Income Fund,12.09,-0.82,8.44,USD,29.25,52.31
229026,-,BlackRock Asia Pacific Equity Income Fund,11.48,-0.95,8.51,SGD,28.86,44.39
229028,-,BlackRock Asian Dragon Fund,33.68,-1.69,8.38,EUR,34.44,251.8
229399,-,BlackRock Asian Dragon Fund,29.3,-1.38,8.45,GBP,46.23,240.7
229029,-,BlackRock Asian Dragon Fund,35.68,-1.33,8.96,USD,30.84,94.27
260723,-,BlackRock Asian Dragon Fund,12.29,-1.29,9,AUD,31.68,24.7
279268,-,BlackRock Asian Dragon Fund,11.68,-1.35,8.6,CHF,28.46,18.7
279261,-,BlackRock Asian Dragon Fund,11.78,-1.34,8.72,EUR,28.99,19.7
285325,-,BlackRock Asian Dragon Fund,101.7,-1.32,-,PLN,-,-
262692,-,BlackRock Asian Dragon Fund,11.47,-1.38,8.88,SGD,30.31,16.5
229030,-,BlackRock Asian Dragon Fund,28.21,-1.36,8.47,GBP,46.23,252.61
229402,-,BlackRock Asian Dragon Fund,26.37,-1.68,8.17,EUR,32.75,156.72
229403,-,BlackRock Asian Dragon Fund,27.93,-1.34,8.74,USD,29.25,169.17
