portfolioId,Ticker,Name,NAV,ChangePercent,ChangePercentYTD,Ccy,1Y,Incept
237595,-,BGF ASEAN Leaders Fund,10.7,-0.47,6.52,USD,14.56,7.8
237593,-,BGF ASEAN Leaders Fund,10.45,-0.85,6.05,EUR,18.49,29.75
237596,-,BGF ASEAN Leaders Fund,11.07,-0.45,6.7,USD,15.42,11.5
244083,-,BGF Asia Pacific Equity Income Fund,16.51,-0.9,8.16,GBP,46.28,63.1
229019,-,BGF Asia Pacific Equity Income Fund,16.55,-0.84,8.72,USD,30.88,67
260981,-,BGF Asia Pacific Equity Income Fund,10.18,-0.97,8.54,EUR,29.45,11.63
229020,-,BGF Asia Pacific Equity Income Fund,102.4,-0.87,8.82,HKD,30.69,69.23
229021,-,BGF Asia Pacific Equity Income Fund,13.19,-0.83,8.74,USD,30.9,67.19
228311, ,BGF Asia Pacific Equity Income Fund,12.53,-0.87,8.68,SGD,30.52,60.18
229022,-,BGF Asia Pacific Equity Income Fund,13.8,-0.86,8.67,USD,30.94,34.65
230090,-,BGF Asia Pacific Equity Income Fund,107.66,-0.87,8.63,HKD,30.28,33.32
251626,-,BGF Asia Pacific Equity Income Fund,13.46,-0.88,8.78,AUD,31.66,15.93
277128,-,BGF Asia Pacific Equity Income Fund,109.27,-0.84,-,China OffShore Renminbi,-,-
270026,-,BGF Asia Pacific Equity Income Fund,96.61,-0.8,9.7,ZAR,37.98,18.51
283032,-,BGF Asia Pacific Equity Income Fund,13.82,-0.86,8.33,GBP,-,38.99
228313, ,BGF Asia Pacific Equity Income Fund,17.3,-0.86,8.85,USD,31.87,31.57
241421,-,BGF Asia Pacific Equity Income Fund,13.77,-0.86,8.86,USD,31.94,43.66
241420,-,BGF Asia Pacific Equity Income Fund,13.07,-0.83,8.83,SGD,31.48,42.08
229028,-,BGF Asian Dragon Fund,33.68,-1.69,8.38,EUR,34.44,251.8
229399,-,BGF Asian Dragon Fund,29.3,-1.38,8.45,GBP,46.23,240.7
229029,-,BGF Asian Dragon Fund,35.68,-1.33,8.96,USD,30.84,94.27
260723,-,BGF Asian Dragon Fund,12.29,-1.29,9,AUD,31.68,24.7
279268,-,BGF Asian Dragon Fund,11.68,-1.35,8.6,CHF,28.46,18.7
279261,-,BGF Asian Dragon Fund,11.78,-1.34,8.72,EUR,28.99,19.7
285325,-,BGF Asian Dragon Fund,101.7,-1.32,-,PLN,-,-
262692,-,BGF Asian Dragon Fund,11.47,-1.38,8.88,SGD,30.31,16.5
229030,-,BGF Asian Dragon Fund,28.21,-1.36,8.47,GBP,46.23,252.61
229031,-,BGF Asian Dragon Fund,36.06,-1.69,8.49,EUR,35.41,105.16
241437,-,BGF Asian Dragon Fund,31.38,-1.35,8.6,GBP,47.35,96.84
229404,-,BGF Asian Dragon Fund,38.2,-1.32,9.12,USD,31.82,192.46
279262,-,BGF Asian Dragon Fund,11.81,-1.34,8.7,CHF,29.2,19.9
279269,-,BGF Asian Dragon Fund,11.93,-1.32,8.81,EUR,30.08,21.1
241436,-,BGF Asian Dragon Fund,28.47,-1.39,8.56,GBP,47.29,96.79
244060,-,BGF Asian Growth Leaders Fund,16.64,-0.95,9.74,USD,29.88,67.8
270819,-,BGF Asian Growth Leaders Fund,12.13,-0.9,9.79,AUD,30.56,22.2
279263,-,BGF Asian Growth Leaders Fund,11.8,-0.92,9.27,CHF,27.27,19
279264,-,BGF Asian Growth Leaders Fund,11.92,-1,9.46,EUR,28.12,20.3
262691,-,BGF Asian Growth Leaders Fund,12.63,-0.94,9.64,SGD,29.34,27.4
268967,-,BGF Asian Growth Leaders Fund,13.89,-1,9.33,GBP,46.16,69.68
244938,-,BGF Asian Growth Leaders Fund,16.93,-0.94,9.85,USD,30.83,70.6
279265,-,BGF Asian Growth Leaders Fund,11.94,-0.91,9.45,CHF,28.22,20.4
279266,-,BGF Asian Growth Leaders Fund,12.07,-0.9,9.54,EUR,29.06,21.7
229037,-,BGF Asian Local Bond Fund,9.88,-0.5,3.72,USD,3.3,0.3
229038,-,BGF Asian Local Bond Fund,8.71,-0.57,3.79,USD,3.23,0.14
229039,-,BGF Asian Local Bond Fund,8.06,-0.49,3.76,USD,3.26,0.29
237592,-,BGF Asian Local Bond Fund,9.97,-0.5,3.9,USD,3.79,1.2
280950,-,BGF Asian Multi-Asset Growth Fund,11.39,-0.44,4,USD,9.39,11.8
229042,-,BGF Asian Tiger Bond Fund,12.55,-0.24,2.72,USD,7.01,290.58
229407,-,BGF Asian Tiger Bond Fund,38.75,-0.21,2.76,USD,6.97,291.2
275884,-,BGF Asian Tiger Bond Fund,10.37,-0.19,2.45,EUR,5.12,4.7
229412,-,BGF Asian Tiger Bond Fund,12.87,-0.23,2.69,SGD,6.73,30
228418, ,BGF Asian Tiger Bond Fund,12.57,-0.24,2.72,USD,6.91,112.14
243968,-,BGF Asian Tiger Bond Fund,10.8,-0.28,2.8,AUD,7.94,26.68
243967,-,BGF Asian Tiger Bond Fund,9.69,-0.21,2.55,EUR,5.28,13.73
228417, ,BGF Asian Tiger Bond Fund,11.1,-0.18,2.65,HKD,6.5,42.63
241417,-,BGF Asian Tiger Bond Fund,11.31,-0.18,2.88,NZD,8.39,33.19
242994,-,BGF Asian Tiger Bond Fund,10.06,-0.2,2.68,SGD,6.68,18.16
228329, ,BGF Asian Tiger Bond Fund,11.57,-0.17,2.77,USD,6.98,25.2
272929,-,BGF Asian Tiger Bond Fund,10.68,-0.19,2.45,EUR,5.17,5.24
272930,-,BGF Asian Tiger Bond Fund,7.68,-0.26,2.56,GBP,6.33,7.06
230092,-,BGF Asian Tiger Bond Fund,89.14,-0.22,2.66,HKD,6.43,24.31
271372,-,BGF Asian Tiger Bond Fund,9.75,-0.2,2.71,SGD,6.82,10.38
246706,-,BGF Asian Tiger Bond Fund,11.5,-0.26,2.84,AUD,7.99,24.43
272932,-,BGF Asian Tiger Bond Fund,11.08,-0.18,2.67,CAD,6.66,7.32
277138,-,BGF Asian Tiger Bond Fund,100.36,-0.19,-,China OffShore Renminbi,-,-
272931,-,BGF Asian Tiger Bond Fund,12.06,-0.25,2.94,NZD,8.4,11.92
260724,-,BGF Asian Tiger Bond Fund,104.68,-0.15,3.78,ZAR,14.26,40.75
229043,-,BGF Asian Tiger Bond Fund,12.72,-0.24,2.8,USD,7.45,28.4
257466,-,BGF Asian Tiger Bond Fund,11.87,-0.25,2.57,EUR,5.73,19.9
257467,-,BGF Asian Tiger Bond Fund,12.25,-0.16,2.74,SGD,7.2,23.6
243810,-,BGF Asian Tiger Bond Fund,12.59,-0.16,2.8,USD,7.45,19.87
243809,-,BGF Asian Tiger Bond Fund,11.11,-0.18,2.73,HKD,7.02,18.65
275885,-,BGF Asian Tiger Bond Fund,10.17,-0.29,2.7,GBP,6.79,7.26
243811,-,BGF Asian Tiger Bond Fund,11.91,-0.17,2.8,USD,7.48,19.93
273330,-,BGF China Fund,15.64,-1.82,9.99,EUR,39.13,-8.59
229546,-,BGF China Fund,16.86,-1.46,10.62,HKD,35.19,69.8
229547,-,BGF China Fund,16.57,-1.49,10.52,USD,35.33,67
260707,-,BGF China Fund,14.05,-1.54,10.54,AUD,36.02,41.6
275888,-,BGF China Fund,107.37,-1.43,11.25,China OffShore Renminbi,38.29,-3.01
229550,-,BGF China Fund,15.09,-1.5,10.29,EUR,33.51,52.2
229551,-,BGF China Fund,15.25,-1.49,10.49,SGD,34.91,53.8
229552,-,BGF China Fund,14.97,-1.51,10.38,GBP,34.41,60.8
241750,-,BGF China Fund,136.03,-1.49,10.79,HKD,36.23,66.51
229115,-,BGF China Fund,17.52,-1.52,10.65,USD,36.37,62.62
241426,-,BGF China Fund,15.61,-1.51,10.38,EUR,34.53,63.28
241424,-,BGF China Fund,10.58,-1.49,10.57,GBP,35.41,65.43
241423,-,BGF China Fund,15.77,-1.5,10.65,SGD,35.9,64.77
241425,-,BGF China Fund,15.07,-1.57,10.47,GBP,35.48,65.54
229558,-,BGF Continental European Flexible Fund,21.71,-0.05,4.15,EUR,10.96,"1,542.44"
228513, ,BGF Continental European Flexible Fund,23,0.31,4.72,USD,8.03,48.63
272568,-,BGF Continental European Flexible Fund,10.71,-0.09,4.32,USD,12.01,6.3
229116,-,BGF Continental European Flexible Fund,21.29,-0.05,4.14,EUR,10.98,74.85
228352, ,BGF Continental European Flexible Fund,18.39,0.22,4.19,GBP,20.72,301.02
229561,-,BGF Continental European Flexible Fund,19.99,-0.05,4.2,GBP,10.67,99.53
228340, ,BGF Continental European Flexible Fund,23.1,-0.04,4.27,EUR,11.8,265.07
241429,-,BGF Continental European Flexible Fund,20.72,-0.05,4.36,GBP,11.55,77.48
241428,-,BGF Continental European Flexible Fund,28.82,-0.07,4.49,USD,12.9,77.04
272984,-,BGF Continental European Flexible Fund,21.27,-0.05,4.3,EUR,11.82,3.29
241427,-,BGF Continental European Flexible Fund,18.5,0.22,4.35,GBP,21.7,89.19
241430,-,BGF Continental European Flexible Fund,20.13,-0.05,4.33,GBP,11.53,77.61
230101,-,BGF Continental European Flexible Fund,31.4,-0.06,4.49,USD,12.87,1.43
229564,-,BGF Emerging Europe Fund,94.6,-1.9,1.48,EUR,33.14,"1,025.38"
229565,-,BGF Emerging Europe Fund,100.22,-1.54,2.04,USD,29.63,433.61
229573,-,BGF Emerging Europe Fund,8.7,-1.92,1.7,SGD,33.98,-10.5
229566,-,BGF Emerging Europe Fund,90.49,-1.91,1.47,EUR,33.14,146.73
229118,-,BGF Emerging Europe Fund,78.98,-1.59,1.56,GBP,44.87,994.7
229570,-,BGF Emerging Europe Fund,103.52,-1.9,1.6,EUR,34.15,14.04
241438,-,BGF Emerging Europe Fund,109.67,-1.54,2.16,USD,30.59,-11.21
241678,-,BGF Emerging Europe Fund,77.89,-1.95,1.61,GBP,34.14,9.68
241439,-,BGF Emerging Europe Fund,79.08,-1.59,1.68,GBP,45.99,14.88
229123,-,BGF Emerging Markets Bond Fund,9.48,-1.25,3.04,EUR,18.86,174.42
229577,-,BGF Emerging Markets Bond Fund,10.05,-0.79,3.63,USD,15.72,143.81
229124,-,BGF Emerging Markets Bond Fund,16.53,-1.2,3.04,EUR,18.87,184.76
228473, ,BGF Emerging Markets Bond Fund,17.51,-0.85,3.58,USD,15.75,138.7
229584,-,BGF Emerging Markets Bond Fund,16.7,-0.83,3.31,EUR,14.02,93.45
264123,-,BGF Emerging Markets Bond Fund,11.55,-0.86,3.47,GBP,15.25,16.4
229125,-,BGF Emerging Markets Bond Fund,9.81,-1.21,3.07,EUR,18.85,66.91
229578,-,BGF Emerging Markets Bond Fund,10.39,-0.86,3.63,USD,15.78,80.3
264649,-,BGF Emerging Markets Bond Fund,13.64,-1.23,3,EUR,18.89,47.02
228326, ,BGF Emerging Markets Bond Fund,9.51,-0.83,3.62,USD,15.72,26.11
283769,-,BGF Emerging Markets Bond Fund,10.45,-0.76,3.56,CAD,-,8.86
283746,-,BGF Emerging Markets Bond Fund,10.35,-0.86,3.5,GBP,-,8.04
228327, ,BGF Emerging Markets Bond Fund,72.78,-0.82,3.52,HKD,15.19,24.5
246708,-,BGF Emerging Markets Bond Fund,9.41,-0.84,3.78,AUD,16.79,23.61
283770,-,BGF Emerging Markets Bond Fund,10.46,-0.85,3.86,NZD,-,9.94
270028,-,BGF Emerging Markets Bond Fund,102.78,-0.74,4.62,ZAR,23.03,30.72
241432,-,BGF Emerging Markets Bond Fund,17.5,-1.19,3.1,EUR,19.55,47.36
229582,-,BGF Emerging Markets Bond Fund,18.55,-0.8,3.72,USD,16.46,91.59
241435,-,BGF Emerging Markets Bond Fund,17.15,-0.81,3.47,EUR,14.74,17.63
241433,-,BGF Emerging Markets Bond Fund,9.83,-1.21,3.16,EUR,19.51,47.48
241434,-,BGF Emerging Markets Bond Fund,10.41,-0.86,3.73,USD,16.43,21.09
246606,-,BGF Emerging Markets Corporate Bond Fund,11.27,-0.35,2.72,USD,12.5,13.4
246607,-,BGF Emerging Markets Corporate Bond Fund,10.99,-0.45,2.5,EUR,10.81,10.7
246648,-,BGF Emerging Markets Corporate Bond Fund,11.65,-0.34,2.9,USD,13.46,17.2
258853,-,BGF Emerging Markets Corporate Bond Fund,10.37,-0.48,2.75,GBP,12.91,18.75
229589,-,BGF Emerging Markets Equity Income Fund,12.38,-1.04,10.91,USD,32.6,26.1
229590,-,BGF Emerging Markets Equity Income Fund,10.3,-1.06,10.88,USD,32.52,26.8
262190,-,BGF Emerging Markets Equity Income Fund,11.11,-1.07,10.89,USD,32.4,3.4
286078,-,BGF Emerging Markets Equity Income Fund,11.06,-1.07,-,CAD,-,-
286068,-,BGF Emerging Markets Equity Income Fund,10.74,-1.1,-,EUR,-,-
286076,-,BGF Emerging Markets Equity Income Fund,11.04,-1.08,-,GBP,-,-
262735,-,BGF Emerging Markets Equity Income Fund,85.91,-1.07,10.87,HKD,32.01,2.78
285746,-,BGF Emerging Markets Equity Income Fund,10.96,-1.08,-,SGD,-,-
285747,-,BGF Emerging Markets Equity Income Fund,10.95,-1.08,-,AUD,-,-
285962,-,BGF Emerging Markets Equity Income Fund,109.3,-1.05,-,CNY,-,-
286077,-,BGF Emerging Markets Equity Income Fund,11.05,-1.07,-,NZD,-,-
229591,-,BGF Emerging Markets Equity Income Fund,12.89,-1,11.08,USD,33.57,31.96
229130,-,BGF Emerging Markets Fund,26.11,-1.81,9.32,EUR,31.84,168.76
229131,-,BGF Emerging Markets Fund,27.66,-1.43,9.98,USD,28.36,181.1
229596,-,BGF Emerging Markets Fund,28.36,-1.8,9.51,EUR,32.87,72.13
229132,-,BGF Emerging Markets Fund,30.04,-1.44,10.1,USD,29.32,43.02
229843,-,BGF Emerging Markets Local Currency Bond Fund,4.01,-0.5,3.4,EUR,19.53,26.42
229293,-,BGF Emerging Markets Local Currency Bond Fund,4.24,-0.47,3.99,USD,16.45,143.79
253851,-,BGF Emerging Markets Local Currency Bond Fund,23.49,-0.3,2.72,CHF,16.91,-9.43
229844,-,BGF Emerging Markets Local Currency Bond Fund,21.88,-0.64,3.48,EUR,19.55,29.17
